has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,10,16948,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1577,1,cvre,malicious
1,10,17716,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1583,1,craftgrand,malicious
1,7,2989,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.71,1536,1,py-cordd,malicious
1,3,67227,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63501,2,ygame,malicious
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1611,1,tpintpaypal,malicious
1,3,67248,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63515,2,pyinstalleer,malicious
1,10,18776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1619,1,libencodestringver,malicious
0,6,2772,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.248,514,1,genuser,malicious
1,10,18648,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1618,1,selfinfoinfohydra,malicious
1,10,17204,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1579,1,libgui,malicious
1,10,153603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473,152318,2,kayauthgen,malicious
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,beautfiulsoup,malicious
1,10,19035,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1621,1,selfcontrolhydramine,malicious
1,10,18212,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.203,1563,1,tppywloadhydra,malicious
1,8,1194,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.601,648,1,fncache,malicious
1,10,17997,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1612,1,libintelinfo,malicious
1,10,18264,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1615,1,libnvidiamcver,malicious
1,10,17716,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.208,1583,1,pepcontrol,malicious
1,10,17616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1609,1,py-adadcc,malicious
1,10,18264,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1615,1,tpsuperultramc,malicious
1,10,18520,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1617,1,py-studygetultra,malicious
1,10,18136,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1614,1,tpminecpurand,malicious
1,10,17719,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1583,1,studyhydra,malicious
1,10,150495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.476,149230,2,testomadaoto,malicious
1,7,3224,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.719,1613,1,colorayma,malicious
1,12,2242,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.895,953,2,trove4j,malicious
1,10,18261,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1615,1,esqpywrandomcc,malicious
1,10,16948,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.209,1577,1,adcv,malicious
1,3,67224,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63499,2,vype,malicious
1,10,17587,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1581,1,controlmc,malicious
1,11,2317,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4.936,1339,3,importsetup,malicious
1,3,67254,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63519,2,discord-wbhook,malicious
1,10,18009,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1614,1,libvmstrtool,malicious
1,12,3041,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,4.769,1031,2,django-metamaks-auth,malicious
1,135,1159137,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,4.888,910481,86,urllib7,malicious
1,10,18776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1619,1,py-verosintreplace,malicious
0,9,2961,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5.028,1408,1,data-platform-dbt,malicious
1,10,17332,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1580,1,candyre,malicious
0,14,59936,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,4.591,56274,10,cloud-credentials,malicious
1,10,18128,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1613,1,libcandyosint,malicious
1,7,3462,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.79,1827,1,customtiknter,malicious
